[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.696630  Std Dev (0.092529) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.677543  Std Dev (0.093421) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.701043  Std Dev (0.084819) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.661739  Std Dev (0.094475) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.676304  Std Dev (0.092867) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.641130  Std Dev (0.118705) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.687370  Std Dev (0.082857) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0}
INFO:root:Mean Acc : 0.599891  Std Dev (0.142014) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.716370  Std Dev (0.089751) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.576022  Std Dev (0.179669) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.725457  Std Dev (0.077453) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.584370  Std Dev (0.127500) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.704413  Std Dev (0.100189) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.625587  Std Dev (0.176585) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.702696  Std Dev (0.091492) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.662761  Std Dev (0.078198) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.686283  Std Dev (0.097702) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.606174  Std Dev (0.155098) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.705978  Std Dev (0.086349) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.626978  Std Dev (0.093713) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.703239  Std Dev (0.087609) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 50, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.587174  Std Dev (0.172366) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.714239  Std Dev (0.088824) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.533196  Std Dev (0.148329) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.691913  Std Dev (0.094742) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.605130  Std Dev (0.130562) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.705543  Std Dev (0.093100) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.552348  Std Dev (0.171507) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.691717  Std Dev (0.094072) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.580804  Std Dev (0.165577) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.688087  Std Dev (0.109513) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.621696  Std Dev (0.158791) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.681957  Std Dev (0.099318) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.583761  Std Dev (0.190381) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.703652  Std Dev (0.093047) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 90, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.451826  Std Dev (0.210104) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.702413  Std Dev (0.090334) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 100, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.582391  Std Dev (0.143577) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.701370  Std Dev (0.093908) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 150, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.571674  Std Dev (0.155296) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.686565  Std Dev (0.093161) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 200, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.571739  Std Dev (0.164396) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.700261  Std Dev (0.095364) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 250, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.592565  Std Dev (0.183837) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.683783  Std Dev (0.096744) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 300, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.598130  Std Dev (0.133509) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.703565  Std Dev (0.089111) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 350, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.544565  Std Dev (0.176691) with param: {'lr': 0.1, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.706500  Std Dev (0.088645) with param: {'lr': 0.01, 'act_layer1': 'relu', 'hu_1': 400, 'epochs': 130, 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.675326  Std Dev (0.117023) with param: {'lr': 0.1, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0}
INFO:root:Mean Acc : 0.709304  Std Dev (0.093115) with param: {'lr': 0.01, 'act_layer1': 'sigmoid', 'hu_1': 100, 'epochs': 50, 'drop_out1': 0}
