[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.705267  Std Dev (0.097092) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.674711  Std Dev (0.109274) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.676422  Std Dev (0.113248) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.698000  Std Dev (0.112287) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.688422  Std Dev (0.104729) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.672578  Std Dev (0.116833) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.688511  Std Dev (0.116942) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.525600  Std Dev (0.177756) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.707578  Std Dev (0.125597) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.630422  Std Dev (0.100727) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.697733  Std Dev (0.097541) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.614422  Std Dev (0.127521) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.693378  Std Dev (0.098002) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.553133  Std Dev (0.161037) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.695444  Std Dev (0.092177) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.572489  Std Dev (0.159093) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.697689  Std Dev (0.110209) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.700111  Std Dev (0.048679) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.678022  Std Dev (0.118320) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.621733  Std Dev (0.094172) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.691467  Std Dev (0.112203) with param: {'act_layer1': 'relu', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.569111  Std Dev (0.100480) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.697378  Std Dev (0.102726) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.584689  Std Dev (0.103020) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.677800  Std Dev (0.103527) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.478844  Std Dev (0.164137) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.706489  Std Dev (0.102468) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.636044  Std Dev (0.089926) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.692289  Std Dev (0.103793) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.598733  Std Dev (0.121802) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.683644  Std Dev (0.116037) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.533911  Std Dev (0.157288) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.690156  Std Dev (0.106520) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.568378  Std Dev (0.120087) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.688844  Std Dev (0.107001) with param: {'act_layer1': 'relu', 'epochs': 90, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.513578  Std Dev (0.185963) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.698378  Std Dev (0.100880) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.547200  Std Dev (0.178960) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.705689  Std Dev (0.104263) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.485911  Std Dev (0.194658) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.699711  Std Dev (0.098853) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.581778  Std Dev (0.136140) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.697244  Std Dev (0.095959) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.600222  Std Dev (0.165302) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.708400  Std Dev (0.108835) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.549844  Std Dev (0.080208) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.689156  Std Dev (0.099611) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.571044  Std Dev (0.141074) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.682089  Std Dev (0.099727) with param: {'act_layer1': 'relu', 'epochs': 130, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.697756  Std Dev (0.111562) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.730156  Std Dev (0.087674) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 100, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.671667  Std Dev (0.113327) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.709667  Std Dev (0.093192) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.682911  Std Dev (0.105278) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.699333  Std Dev (0.094095) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.446956  Std Dev (0.333333) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.717133  Std Dev (0.092386) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.444489  Std Dev (0.325712) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.706667  Std Dev (0.098347) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.531933  Std Dev (0.156154) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.726200  Std Dev (0.086850) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0, 'lr': 0.01}
