[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.681278  Std Dev (0.423060) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.584972  Std Dev (0.374187) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.680722  Std Dev (0.422726) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.024861  Std Dev (0.035159) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685806  Std Dev (0.426192) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.027556  Std Dev (0.038969) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.683444  Std Dev (0.424580) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.670306  Std Dev (0.415361) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.685139  Std Dev (0.425835) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.669722  Std Dev (0.414976) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.687667  Std Dev (0.427565) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.678722  Std Dev (0.421312) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.684528  Std Dev (0.425349) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.677611  Std Dev (0.420456) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.686917  Std Dev (0.427035) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.678222  Std Dev (0.420912) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.686194  Std Dev (0.426523) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.384889  Std Dev (0.218410) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.686944  Std Dev (0.427119) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.060833  Std Dev (0.043540) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.686806  Std Dev (0.426955) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 50}
INFO:root:Mean Acc : 0.672722  Std Dev (0.417085) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.686500  Std Dev (0.426741) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.664639  Std Dev (0.411351) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.686500  Std Dev (0.426744) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.659056  Std Dev (0.407405) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.685167  Std Dev (0.425796) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.673917  Std Dev (0.417947) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.687278  Std Dev (0.427290) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.452611  Std Dev (0.381873) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.683889  Std Dev (0.424958) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.262611  Std Dev (0.134109) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.687139  Std Dev (0.427250) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.025056  Std Dev (0.035434) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.686972  Std Dev (0.427074) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 90}
INFO:root:Mean Acc : 0.683694  Std Dev (0.424755) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685500  Std Dev (0.425976) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.676056  Std Dev (0.419422) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.684611  Std Dev (0.425347) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.670444  Std Dev (0.415388) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.687361  Std Dev (0.427348) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.673306  Std Dev (0.417413) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685972  Std Dev (0.426368) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.540722  Std Dev (0.366786) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.687194  Std Dev (0.427231) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.374944  Std Dev (0.407181) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.686722  Std Dev (0.426838) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.027639  Std Dev (0.039087) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.687722  Std Dev (0.427662) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'relu', 'epochs': 130}
INFO:root:Mean Acc : 0.685583  Std Dev (0.426099) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.682917  Std Dev (0.424264) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.684750  Std Dev (0.425511) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.683750  Std Dev (0.424913) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.677139  Std Dev (0.420179) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.678972  Std Dev (0.421487) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.673444  Std Dev (0.435800) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.684361  Std Dev (0.425227) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.113806  Std Dev (0.054502) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.682667  Std Dev (0.424031) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.153472  Std Dev (0.107905) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.681472  Std Dev (0.423244) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.387750  Std Dev (0.423559) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.686167  Std Dev (0.426562) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.678833  Std Dev (0.421344) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.681083  Std Dev (0.422926) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.682222  Std Dev (0.423720) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.680444  Std Dev (0.422488) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.681167  Std Dev (0.422917) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.684556  Std Dev (0.425429) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.390389  Std Dev (0.421698) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686056  Std Dev (0.426485) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.387750  Std Dev (0.418843) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.687222  Std Dev (0.427310) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.121056  Std Dev (0.053473) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.681167  Std Dev (0.423034) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.121250  Std Dev (0.060060) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.683333  Std Dev (0.424561) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.677250  Std Dev (0.420272) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.684278  Std Dev (0.425109) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.680722  Std Dev (0.422595) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.685500  Std Dev (0.426032) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.681194  Std Dev (0.423046) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.683694  Std Dev (0.424819) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.387222  Std Dev (0.417163) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.686361  Std Dev (0.426641) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.125694  Std Dev (0.057142) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.685556  Std Dev (0.426072) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.412611  Std Dev (0.404264) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
INFO:root:Mean Acc : 0.685417  Std Dev (0.426039) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0, 'act_layer1': 'sigmoid', 'epochs': 130}
