[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.450267  Std Dev (0.336029) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.691978  Std Dev (0.087888) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.297000  Std Dev (0.229111) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.697000  Std Dev (0.088446) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.290267  Std Dev (0.221523) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.690822  Std Dev (0.092614) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.301644  Std Dev (0.234428) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.688867  Std Dev (0.089444) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'relu', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.465378  Std Dev (0.260447) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.680444  Std Dev (0.117865) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.472311  Std Dev (0.238726) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.691844  Std Dev (0.117301) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.486111  Std Dev (0.251993) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.682756  Std Dev (0.107082) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.352467  Std Dev (0.274320) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.684133  Std Dev (0.105873) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'relu', 'drop_out1': 0.5, 'lr': 0.01}
