[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.693935  Std Dev (0.080105) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.324109  Std Dev (0.248167) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.687783  Std Dev (0.075456) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.323239  Std Dev (0.247192) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.692717  Std Dev (0.082791) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.324543  Std Dev (0.248655) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.706913  Std Dev (0.073702) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0, 'epochs': 130}
INFO:root:Mean Acc : 0.524326  Std Dev (0.248034) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.667500  Std Dev (0.115068) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.478500  Std Dev (0.223763) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.678935  Std Dev (0.100812) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.444717  Std Dev (0.321724) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.674804  Std Dev (0.103659) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.347870  Std Dev (0.275604) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.693087  Std Dev (0.095953) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.355587  Std Dev (0.284800) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.685022  Std Dev (0.103129) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.370391  Std Dev (0.302760) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.712522  Std Dev (0.083662) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.123196  Std Dev (0.174228) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.710174  Std Dev (0.083474) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.495696  Std Dev (0.270187) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.718935  Std Dev (0.101927) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.436435  Std Dev (0.295457) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.689717  Std Dev (0.091843) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.436087  Std Dev (0.324017) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.705543  Std Dev (0.085678) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.441500  Std Dev (0.314476) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.709109  Std Dev (0.084960) with param: {'act_layer1': 'relu', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.354478  Std Dev (0.283471) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.699478  Std Dev (0.086420) with param: {'act_layer1': 'relu', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.123196  Std Dev (0.174228) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.702978  Std Dev (0.084951) with param: {'act_layer1': 'relu', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.361174  Std Dev (0.291531) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.700196  Std Dev (0.094163) with param: {'act_layer1': 'relu', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.544370  Std Dev (0.211920) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.687739  Std Dev (0.098142) with param: {'act_layer1': 'relu', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.467522  Std Dev (0.280903) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.684457  Std Dev (0.093116) with param: {'act_layer1': 'relu', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.463022  Std Dev (0.332790) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 130}
INFO:root:Mean Acc : 0.698674  Std Dev (0.088063) with param: {'act_layer1': 'relu', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 130}
