[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.702943  Std Dev (0.396181) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.343286  Std Dev (0.147667) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704743  Std Dev (0.397455) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.306371  Std Dev (0.142003) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.704400  Std Dev (0.397219) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.398143  Std Dev (0.233771) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705143  Std Dev (0.397740) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0}
INFO:root:Mean Acc : 0.672286  Std Dev (0.377333) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710771  Std Dev (0.401775) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.575429  Std Dev (0.318056) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.711143  Std Dev (0.402099) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.639629  Std Dev (0.361303) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710743  Std Dev (0.401694) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.638914  Std Dev (0.360999) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710914  Std Dev (0.401876) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.635086  Std Dev (0.348381) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.674400  Std Dev (0.378737) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.607257  Std Dev (0.332046) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.641943  Std Dev (0.363061) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.641657  Std Dev (0.353082) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710029  Std Dev (0.401251) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.571800  Std Dev (0.303759) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710429  Std Dev (0.401533) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.537314  Std Dev (0.282054) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710257  Std Dev (0.401412) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.645657  Std Dev (0.355806) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710971  Std Dev (0.401917) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.647686  Std Dev (0.357230) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710886  Std Dev (0.401856) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.672086  Std Dev (0.377214) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.711029  Std Dev (0.402018) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.641943  Std Dev (0.353277) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710371  Std Dev (0.401493) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.577400  Std Dev (0.307562) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.711029  Std Dev (0.401957) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.568343  Std Dev (0.301144) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710371  Std Dev (0.401492) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.610457  Std Dev (0.333472) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.673543  Std Dev (0.378127) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.509714  Std Dev (0.259755) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710286  Std Dev (0.401371) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.505114  Std Dev (0.256423) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710600  Std Dev (0.401654) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.470257  Std Dev (0.235466) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710743  Std Dev (0.401816) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.638457  Std Dev (0.350727) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.710286  Std Dev (0.401371) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.637714  Std Dev (0.369331) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.711114  Std Dev (0.402018) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'relu', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.703800  Std Dev (0.396849) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706686  Std Dev (0.398892) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.705429  Std Dev (0.398006) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0}
